SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,ADDRESS,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE,MATCH_ADDR,MATCH_TYPE,LATITUDE,LONGITUDE
William Layton,,,Ship,,,5/18/1854,1854,5,18,Squan Inlet S 5.5 mi,Stranded,Wood,,,,,,,,"Antwerp, Belgium","New York, NY",Carpenter,,490,0,,,"Lead, zinc, glass, hardware",,N,N,,"Also see ""Coriolan"" & ""Montezuma""","New York, NY",ROOFTOP,40.714269,-74.005973
Electric (1868),,R M Sloman,Medium clipper,1853,"Mystic, CT",12/21/1868,1868,12,21,Cape May,,,,181,38,21,1046,,,"Hamburg, Germany","New York, NY",,,363,0,,,,,N,"N ",Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Montezuma,,Black Ball Line,Packet,1843,"New York, NY",5/18/1854,1854,5,18,"Jones Beach, LI",Stranded,Wood,US,162,35.8,21,924,,"New York, NY","Liverpool, England","New York, NY",DeCourcey,,400,0,,,,,N,Y,,"Also see ""Coriolan"" & ""William Layton""","New York, NY",ROOFTOP,40.714269,-74.005973
W S Lindsay,,Horace Gray,Sailing ship,1854,"Bath, ME",12/13/1863,1863,12,13,Sandy Hook,Stranded,Wood,US,186,37,29,1165,,"Bath, ME","Havre, France","New York, NY",Patten,,300,0,,,,,Y,N,Cargo saved; ship lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
Electric (1867),,,Medium clipper,1853,"Mystic, CT",12/19/1867,1867,12,19,Pecks Beach,,,,181,38,21,1046,,,"Hamburg, Germany","New York, NY",,5,350,0,,,,,N,"N ",Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Salier,,,Steamer,1875,"Hull, England",12/11/1882,1882,12,11,Sandy Hook,Stranded,Iron,Germany,354,39,,3098,,"Bremen, Germany","Bremen, Germany","New York, NY",,,341,0,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
New York (1856),,G Buckley,Passenger,1844,"New York, NY",12/20/1856,1856,12,20,Barnegat Inlet N 2.5 mi,Grounded in storm,,,,,15,524,,,"Liverpool, England","New York, NY",McKennon,27,301,0,,,Flour; Tobacco,,Y,N,Captain stabbed by crew,"Also see ""Tasso""","New York, NY",ROOFTOP,40.714269,-74.005973
Georgia,,,Sailing ship,1847,"Boston, MA",12/3/1852,1852,12,3,Bonds LSS,Grounded in fog,Wood,US,,,,,,"Savannah, GA","Liverpool, England","New York, NY",Marshall Brady,,296,0,,,Iron; salt,,Y,N,All saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cornelius Grinnell (1853),,"Grinnell, Miniturn & Co",Packet,1850,"East Boston, MA",1/14/1853,1853,1,14,Squan Beach,Stranded,,US,172.5,37.2,30,979.6,,"Boston, MA","London, England","New York, NY",Fletcher,,234,0,,,General,Squan Beach #9,N,Y,All saved by LSS crew w/ lifecar; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Coriolan,Coriolon,,Bark,1849,"Bremen, Germany",5/18/1854,1854,5,18,Squan Inlet S 3 mi,Stranded in fog,Wood,Germany,,,,560,,"Bremen, Germany","Bremen, Germany","New York, NY",H Woulf,,245,0,,,Passengers & assorted cargo,,N,N,Refloated; no damage,"Also see ""William Layton"" & ""Montezuma""","New York, NY",ROOFTOP,40.714269,-74.005973
Elizabeth (1869),,,Sloop,,,1869,1869,,,Corsons Inlet bar,Sank,,,,,,,,,"Queenstown, MD","New York, NY",,,250,0,,,Marble & cork,,,N,250 Irish immigrants,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sea Duck,,,Ship,,,4/1853,1853,4,,Long Beach Island,Stranded,,,,,,,,,"Havre, France","New York, NY",,,200,0,,,,,,N,All rescued using surfcar,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sumner USS,,,Troop transport,1883,"Hamburg, Germany",12/12/16,1916,12,12,Barnegat Shoal E 1 mi,Stranded,Steel,US,351.1,43,26,3458,2182,,Canal Zone,"New York, NY",,142,190,0,,,Machinery,,Y,Y,"Broke in two, Total loss",,"New York, NY",ROOFTOP,40.714269,-74.005973
Adriatic (1864),,E E Morgan & Sons,Sailing ship,1861,"East Boston, MA",8/12/1864,1864,8,12,Montuk SW 20 mi,"Burned by Confederate Raider ""Tallahassee""",Wood,US,181,34,23,989,,"New York, NY","London, England","New York, NY",R H Moore,,163,0,,,,,Y,N,"One of 30 ships captured by ""Tallahassee""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Katharine Jackson,,,Sailing ship,,,10/30/1848,1848,10,30,Squam Beach,Stranded,Wood,US,,,,456,,,"Rotterdam, Netherlands","New York, NY",Stafford,,156,0,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Independence (1851),,,Sailing ship,,,12/23/1851,1851,12,23,Squan Beach,Stranded,Wood,England,,,,,,,"Belfast, England","New York, NY",Martin,,150,0,,,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
DeWitt Clinton,,H L Rich & Co,Bark,1848,"New York, NY",3/4/1860,1860,3,4,Squan Inlet S 8 mi,Stranded,Wood,US,,,,1079,,,"Liverpoole, England","New York, NY",Funk,10,104,0,,,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
"Chauncey Jerome, Jr",,Eagle & Hazard,Passenger,1852,"East Haddam, CT",1/12/1854,1854,1,12,Long Branch N,Stranded in fog,Wood,US,,,,1150,,"New York, NY","Liverpool, England","New York, NY",Cone,,100,0,,,General,,N,N,"Ship refloated; Pass., crew & cargo saved",,"New York, NY",ROOFTOP,40.714269,-74.005973
Andrew Jackson (1818),,Rogers & Schermerhotn,Sailing ship,,,11/26/1818,1818,11,26,Barnegat,Stranded,Wood,US,,,,,,,"Bristol, England","New York, NY",Morton,,60,0,,,Heavy assorted cargo,,Y,N,Some cargo saved; ship total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Europe,,,Ship,,,5/1/1839,1839,5,1,Deal Beach,Stranded,Wood,England,,,,,,,"Liverpool, England","New York, NY",Pouley,,100,0,,,Salt & crates of ware,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Clydesdale,,R Mackill & Co,Steamer,1881,"Port Glasgow, England",3/7/1884,1884,3,7,Brigantine Shoal,Stranded in fog,Steel,Scotland,214.4,31.2,13.6,738,608,"Glasgow, Scotland","Kingston, Jamaica","New York, NY",W Johnstone,19,8,0,,,"Sugar, spices, fruit",S Brigantine & Atlantic City,N,N,# 85875; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Macedonia,,A C deFreitus & Co,Steamer,1894,"Stockton, England",6/13/1899,1899,6,13,Seabright E 3.5 mi,"Collision w/ ""Hamilton""",Steel,Germany,280,41.1,22.2,2268,,"Hamburg, Germany","Cienfuegos, Cuba","New York, NY",Kuffah,26,6,0,,,Sugar,,Y,Y,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lewis,,"Depau, Bell et al",Packet,1822,"New York, NY",3/6/1827,1827,3,6,Squam Beach,Stranded,Wood,US,111.6,28.1,14.5,412,,"New York, NY","Havre, France","New York, NY",Macy,19,7,0,,,,,Y,N,Total loss; Cargo taken by land pirates,,"New York, NY",ROOFTOP,40.714269,-74.005973
General Gadsden,,Tibbitts & Whitney,Sailing ship,,,1/10/1820,1820,1,10,Deal Beach,Stranded,Wood,US,,,,,,,"Amsterdam, Neth","New York, NY",Whitney,,8,0,,,97 pipes of gin; 400 bundles iron,,Y,N,Cargo/crew passengers saved; ship lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
New Jersey (1846),,,Bark,,,2/15/1846,1846,2,15,Squan Beach N 8 mi,Stranded in gale,,,,,,,,,"Savannah, GA","New York, NY",Edward Lewis,11,1,0,,,"Cotton, hides & iron",,Y,N,Ship lost; cargo saved; 10 ships lost in storm,,"New York, NY",ROOFTOP,40.714269,-74.005973
Minerva (1857),,,Sailing ship,1853,"Bremen, Germany",4/21/1857,1857,4,21,"Cranberry Inlet, NJ",Stranded,Wood,Netherlands,,,,332,,"Boston, MA","Rotterdam, Netherlands","New York, NY",Wieting,16,4,0,,,"Liquor, grapes",,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Roraima,,Thoe Ruger,Steamer,1879,"Hartlepool, England",2/1/1881,1881,2,1,Shark River Inlet,Stranded,Iron,England,225.6,31,17.2,1178,761,"London, England","Demerara, British Guiana","New York, NY",,21,2,0,,,In ballast,Shark River # 7,N,Y,Refloated,See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
Carina Madre,,,Bark,,,12/2/1873,1873,12,2,Shark River Inlet,Wrecked,,Italy,,,,405,,,"Liverpool, England","New York, NY",Alex Dedaro,13,0,0,,,Chalk,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
F J Luckenbach,ID-2160; Comptroller,Luckenbach SS Co,Steamer,1917,"Quincy, MA",10/27/43,1943,10,27,Belmar Beach,Stranded in storm,Steel,US,468.4,56,30.6,8074,,"New York, NY","New Orleans, LA","New York, NY",,92,0,0,,,In ballast,,N,Y,Refloated; Scrapped 1951,,"New York, NY",ROOFTOP,40.714269,-74.005973
Constitution (1959),,American Export Lines,Passenger,1951,"Quincy, MA",3/1/59,1959,3,1,Squan Inlet S 5 mi,"Collision w/ ""Jalanta"" in fog",,US,637.8,89.2,38,23719,11166,"New York, NY","Newport News, VA","New York, NY",James W LaBelle,116,0,0,,,,USCG Cape May,,N,"#262027; ""Jalanta"" sliced in two; both floating",,"New York, NY",ROOFTOP,40.714269,-74.005973
George R Fisher,,,Schooner,,,1/30/1864,1864,1,30,Squan Inlet S 5 mi,Stranded,,,,,,,,,"Milford, DE","New York, NY",Erickson,5,0,0,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Harlequin,,,Sloop,,,4/3/1772,1772,4,3,Sandy Hook Point,Stranded,,,,,,,,,"Jamaica, WI","New York, NY",Bryson,,0,0,,,,,Y,"N ","#1531; Crew & some cargo saved, Ship lost",,"New York, NY",ROOFTOP,40.714269,-74.005973
Albion (1847),,,Schooner,,,8/1847,1847,8,,Sandy Hook,Stranded,,,,,,,,,"Picton, NS","New York, NY",,5,0,0,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Aid (1864),,,Bark,,,8/3/1864,1864,8,3,Barnegat South Shoal,Stranded,,US,,,,,,,Bermuda,"New York, NY",Goodwin,12,0,0,,,Sugar,,Y,N,Broke up,,"New York, NY",ROOFTOP,40.714269,-74.005973
La France,,Comp Gen Transatlantic,Rigged steamer,1865,"St Nazaire, France",2/25/1875,1875,2,25,Monmouth Beach N .5 mi,Grounded,Iron,,394.9,44.1,28.7,4648,,"La Havre, France","La Havre, France","New York, NY",,150,,0,,,General,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Chelwood Beacon,,Medomsley,Tanker,1960,"Rotterdam, Neth",1/24/66,1966,1,24,Sandy Hook Light E 2 mi,Stranded,Steel,England,665,89.45,33.95,21359,,,Venezuela,"New York, NY",Peter Jones,52,,0,,,"30,000 ton crude oil",,N,Y,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Varanger,,Westfal Larsen & Co,Tanker,1925,"Amsterdam, Netherland",1/25/42,1942,1,25,Hereford Inlet E 32.5 mi,Torpedoed; war loss,Steel,Norway,470.1,60.2,33.5,9305,5505,"Bergen, Norway",Curacao,"New York, NY",Carl Horne,42,,0,,,"10,000 tons oil",,Y,Y,#238,,"New York, NY",ROOFTOP,40.714269,-74.005973
Christian Bergh,,Albatross SS Co,Freighter,1944,"New Orleans, LA",3/18/49,1949,3,18,Highlands S .5 m,Stranded,,,422.8,57,34.8,,4380,"Baltimore, MD",Greece,"New York, NY",,44,,0,,,,,N,N,#246601; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
James Longstreet,Target Ship,U S War Shipping Co,Freighter,1942,"Houston, TX",10/26/43,1943,10,26,Sandy Hook,Grounded,Steel,US,442,56.8,27.9,7176,,"Houston, TX","Southampton, England","New York, NY",,41,,0,,,,,Y,Y,"#212396; Used as a ""Target Ship"" after WWII",,"New York, NY",ROOFTOP,40.714269,-74.005973
Georgic,,White Star Line,Steamer,1895,"Belfast, Ireland",11/26/08,1908,11,26,Sandy Hook,"Collision w/ ""Finance"" in fog""",Steel,England,558.7,60.2,36,10077,6570,"Liverpool, England","Liverpool, England","New York, NY",Clarke,38,,0,,,Elelphants; livestock,,N,Y,"#105326; Resued ""Finance"" pass. & crew","See folder on ""Finance""","New York, NY",ROOFTOP,40.714269,-74.005973
Lillian,,A H Bull SS Co,Freighter,1920,"Wilmington, DE",2/27/39,1939,2,27,Barnegat Lightship E 18 mi,"Collision w/ ""Wiegand""",Steel,US,327.1,46,25.5,3482,2112,"New York, NY",Puerto Rico,"New York, NY",Frank C Boyer,34,,0,,,Sugar,,Y,Y,#219716; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
San Jose,,United Fruit Co,Freighter,1904,"Belfast, Ireland",1/17/42,1942,1,17,Atlantic City SE 14 mi,"Collision w/ ""Santa Elisa""",Steel,US,330,44.6,31,3358,1932,,"Puerto Barissa, Guatamala","New York, NY",,40,,0,,,Coffee,,Y,Y,#119146; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
China Arrow,,Socony Vacuum Oil Co,Tanker,1920,"Fairfield, CT",2/5/42,1942,2,5,"Winter Quarter Shoal, VA E",Torpedoed by U-103,Steel,US,485,63,28.2,8403,,"New York, NY","Beaumont, TX","New York, NY",Paul Hoffman Browne,37,,0,,,81773 bbl fuel oil,,Y,Y,War loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mary A Boardman,,,Steamer,1862,"New York, NY",1/8/1866,1866,1,8,Sandy Hook Romer Shoal,Stranded in freezing gale,,,,,,483,,,"Morehead City, NC","New York, NY",Jordan,27,,0,,,,Sandy Hook Pilots,Y,Y,Total loss 15 below 0,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cassandra (1867),,,Steamer,1864,"Mystic, CT",2/5/1867,1867,2,5,Brigantine Shoal,Stranded,Wood,,207,35.5,17.3,1284,,"Boston, MA","New Orleans, LA","New York, NY",Daniel McLaughlin,31,,0,,,"Cotton, tobacco, moss, leather",,Y,Y,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Great Isaac,,U S War Shipping Admin,Tug,1944,"East Boston, MA",4/16/47,1947,4,16,Barnegat Light S 8 mi,"Collision w/ ""Bandierante""",Steel,US,185.5,37.6,17.8,1117,251,"Boston, MA","Norfolk, VA","New York, NY",Ernest McCreary,27,,0,,,"Towing Liberty ship ""Thomas M Cooley""",USCG Mohawk,Y,Y,#245575; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Jacob V Troop,,J V Troop & Sons,Bark,1869,"Tynemouth, NS",1/16/1876,1876,1,16,Townsends Inlet S 3 mi,Stranded,,England,187,38,23,1232,,"St John, NB, Canada ","Calais, ME","New York, NY",Smith,22,,0,,,Guano,Stone Harbor #35,N,N,#59267; Refloated; More to story in file,,"New York, NY",ROOFTOP,40.714269,-74.005973
Reynolds,Ranald; Clan Ranald,Ranald SS Co,Steamer,1878,"Dumbarton, England",6/4/01,1901,6,4,Atlantic City E 1.5 mi,Cargo Shifted; Foundered,Iron,England,305,34.8,24.4,2008,1264,"Glasgow, Scotland","Trinidad, BWI","New York, NY",Hamilton Cassidy,24,,0,,,Bulk asphalt,Absecon #28,Y,N,#80439; Sank; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ranald,Reynolds; Clan Ranald,Ranald SS Co,Steamer,1878,"Dumbarton, England",6/4/01,1901,6,4,Atlantic City E 1.5 mi,Cargo Shifted; Foundered,Iron,England,305,34.8,24.4,2008,1264,"Glasgow, Scotland","Trinidad, BWI","New York, NY",Hamilton Cassidy,24,,0,,,Bulk asphalt,Absecon #28,Y,N,#80439; Sank; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Artensis,,O Langa,Ship,1885,"Dumbarton, England",6/8/16,1916,6,8,Seaside Park,Stranded,Iron,Norway,266.8,39.5,22.3,1789,1709,"Drammen, Norway","Glasgow, Scotland","New York, NY",,19,,0,,,Ballast,Seaside Park,N,Y,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
America (1866),,,Steamer,,"Hoboken, NJ",10/5/1866,1855,10,5,Barnegat Shoal,Stranded,,US,,,,,,,"Wilmington, DE","New York, NY",Ready,20,,0,,,Cotten,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Tartar (1867),,Thompson & Co,Sloop,1845,"Philadelphia, PA",2/2/1867,1867,2,2,Stickles Creek N,Stranded,Wood,,140,30.6,19.3,573,,"London, England","Calcutta, India","New York, NY",Folondsbee,19,,0,,,Jute,,,"N  ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Stalwart,,Jacob Bingay,Sailing ship,1885,,1/3/03,1903,1,3,"Ship Bottom, NJ",Grounded,Wood,,216,40,22.8,1605,,"Yarmouth, NS","Buenos Aires, Argentina","New York, NY",,22,,0,,,Bones,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Essex (1923),,,Steamer,1885,"Baltimore, MD",6/5/23,1923,6,5,Beach Haven,Foundered,Wood,US,141.5,28,12.2,389,193,"Wilmington, DE","Norfolk, VA","New York, NY",,16,,0,,,,,,Y,#135855,,"New York, NY",ROOFTOP,40.714269,-74.005973
Wellington,,,Steamer,1904,"Port Richmond, NY",2/5/26,1926,2,5,Brigantine Shoal SE 4.5 mi,"Collision w/ ""Ardmore""",Steel,US,126,27,15.8,334,227,"Philadelphia, PA","Eastport, FL","New York, NY",,18,,0,,,,,Y,N,#201287; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Liburno,Liberno,,Ship,,,4/25/1863,1863,4,25,Squan Inlet N 3.5 mi,Stranded,Wood,France,,,,,,,"Marseilles, France","New York, NY",Eames Nicholas,16,,0,,,In ballast,#7,Y,N,Total loss: Crew saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Bridgeworth,,,Sloop,,,1/10/1865,1865,1,10,Sandy Hook,Wrecked,,England,,,,,,,"Liverpool, England","New York, NY",,15,,0,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Shetucket,,,Steamer,1844,"Norwich, CT",1/19/1870,1870,1,19,Cape May,Stranded,,,,,,270,183,"New York, NY","Philadelphia, PA","New York, NY",Taylor,16,,0,,,"Coal, guano",,Y,N,#23165; Cargo saved; Ship lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
Transit,,Thos Duntham's Nephew & Co,Ship,1860,"Bath, ME",4/14/1881,1881,4,14,Toms River LSS N 1 mi,Stranded,Wood,,172,35,23,1133,,"Bath, ME","Liverpool, England","New York, NY",Robert T A Hagen,16,,0,,,General,Toms River #13,N,N,#24058; Refloated; Near Old Cranberry Inlet,See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
C Matthews,,,Brig,,Squan. NJ,9/9/1865,1865,9,9,Squan Inlet S 11.5 mi,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,15,,0,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Jewess,,,Sidewheel steam,1839,"Baltimore, MD",11/11/1854,1854,11,11,Barnegat Beach,Stranded,,,,,,352,,,"Havana, Cuba","New York, NY",J J Wright,15,,0,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Starlight (1866),,,Steamer,1864,"Brooklyn, NY",10/5/1866,1866,10,5,Barnegat Shoal,Stranded,,,,,,437,,,"Wilmington, NC","New York, NY",Pedrick,15,,0,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Marianne Benevento,,,Bark,,,3/4/1874,1874,3,4,Barnegat Inlet S 15 mi,Grounded in wind & fog,,Italy,,,,588,,,"Caylian, Italy","New York, NY",Gio Bolta Duranto,14,,0,,,Salt,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emilie,,,Bark,,,4/6/1851,1851,4,6,Absecon Beach,Stranded,,Sweden,,,,,,,,"New York, NY",Anderson,12,,0,,,,,Y,N,Probable loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Adonis,,,Bark,1853,,3/3/1859,1859,3,3,Long Branch South end,Stranded in storm,Wood,Netherlands,,,,550,,"Breman, Germany","Newcastle, England","New York, NY",,12,,0,,,Grindstones; lead ingots,,Y,Y,"Total loss; Same site as ""Russland""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Mauricio,,,Brig,,,3/28/1864,1864,3,28,Squan Inlet N 2 mi,Grounded,,Netherlands,,,,113,,Curacao,Curacao,"New York, NY",Schroeder,12,,0,,,Dye wood & hides,,,N,Crew saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Flora,,,Bark,,,12/31/1865,1865,12,31,Squan Beach,Wrecked,,US,,,,194,,,"Mobile, AL","New York, NY",,12,,0,,,Cotton,Squan Beach,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Hannah (1864),,,Brig,,,3/30/1864,1864,3,30,Barnegat Light S 2 mi,Stranded,Wood,,,,,,,,"Nassau, Bahamas","New York, NY",Grant,11,,0,,,Circus Equipment Horses,,Y,Y,Total loss; Spaulding & Rogers Circus Co,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cardiff,,,Brig,,,3/19/1856,1856,3,19,Corsons Inlet bar,Grounded,,,,,9,,,,"Les Cayes, Haiti","New York, NY",,10,,0,,,"Log, wood, coffee, honey",,Y,N,Ship lost; Cargo saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
L Baldwin,,,Brig,,,11/22/1851,1851,11,22,Brigantine Shoal,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,11,,0,,,,Atlantic City,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Fortunato,,,Brig,,,8/20/1852,1852,8,20,Squan Beach,Stranded,Wood,Italy,,,,,,"Sardinia, Ialy",,"New York, NY",,10,,0,,,"Marble, wine",,Y,N,Total loss,See Misc File Drawer,"New York, NY",ROOFTOP,40.714269,-74.005973
Allies,,T Cowan,Brig,1855,Nova Scotia,3/30/1863,1863,3,30,Corsons Inlet,Foundered,,England,98.6,21.1,11.1,149,,"Whitehaven, England","Cow Bay, NS","New York, NY",Christopher,10,,0,,,"Cotton, Wool, hides",,Y,N,Ship lost; cargo saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Nellie (1865),,,Brig,,,3/9/1865,1865,3,9,Sandy Hook,Wrecked,,Austria,,,,,,,Cuba,"New York, NY",,10,,0,,,Sugar,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Prospera,,,Brig,,,12/21/1865,1865,12,21,Sandy Hook,Foundered,,Spain,,,,,,,,"New York, NY",,10,,0,,,Sugar,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
San Juan,,,Brig,,,3/4/1866,1866,3,4,Shark River Inlet,,,Spain,,,,,,,"Tampico, Mexico","New York, NY",,10,,0,,,Logwood,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
South,,,Brig,1855,,2/11/1856,1856,2,11,Squan Inlet S 3 mi,Stranded,,,,,,,,,"Galveston, TX","New York, NY",Picken,10,,0,,,"Cotton, molasses, sugar",,N,N,Probably refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Belle (1847A),,,Schooner,,,11/1847,1847,11,,Deal Beach,Wrecked,,,,,,,,,"Charleston, SC","New York, NY",McNeath,9,,0,,,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Belle (1847B),,,Schooner,,,12/16/1897,1897,12,16,Sickles Creek,Wrecked,,,,,,,,,"Norfolk, VA","New York, NY",McNeath,9,,0,,,Molasses,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Henry Finch,,,Schooner,1854,"Poughkeepsie, NY",11/28/1897,1897,11,28,Harvey Cedars LSS NNE 1 mi,Grounded,Wood,US,111.6,30.6,9.6,208.52,198.1,"New York, NY",Virginia,"New York, NY",Henry Soper,7,,0,,,Wood (pine),"Harvey Cedars ",,"N ",#11373; See other Henry Finch,,"New York, NY",ROOFTOP,40.714269,-74.005973
Phantom (1851),,,Brig,,"Baltimore, MD",11/22/1861,1851,11,22,Five Fathom Bank,"Collision w/ ""Umpire""",Wood,US,,,,,,"New York, NY",Curacao,"New York, NY",Cravens,7,,0,,,Salt & hides,,Y,N,"Crew resucued by ""Umpire""; Crew rescued by ""Hera;d""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Barton,,,Schooner,,,2/3/1850,1850,2,3,Barnegat SE 20 mi,Abandoned,,,,,,,,"Brooklyn, NY","Richmond, VA","New York, NY",,6,,0,,,,,Y,N,"Total loss; Crew saved by ""Excel""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Maria Jewell,,,Schooner,,,2/14/1855,1855,2,14,Deal Lake N .1 mi,Grounded burned,,,,,,,,,"Gonaives, Haiti","New York, NY",Penny,7,,0,,,Logwood & coffee,,Y,N,#105697,,"New York, NY",ROOFTOP,40.714269,-74.005973
G W Barter,,Thompson & Hunter,Brig,1856,"New York, NY",8/7/1867,1867,8,7,Barnegat Shoal,Wrecked,,US,112.8,27,10.5,223,,"New York, NY","Port Richmond, PA","New York, NY",Allen/Lee,8,,0,,,Sugar,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Centennial (1888),,,Schooner,1876,"Mays Landing, NJ",7/14/1888,1888,7,14,Egg Harbor Inlet North bar,Stranded,,,82.4,28.4,5.9,113.22,107.56,"Somers Point, NJ","Mays Landing, NJ","New York, NY",Smith,5,,0,,,Wood,Ocean City,N,N,#125480; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
John S Detweiler,,,Schooner,,,12/21/1873,1873,12,21,Barnegat,Stranded,,,,,,179,,"Philadelphia, PA",Virginia,"New York, NY",,6,,0,,,Wood,,,N,#13821,,"New York, NY",ROOFTOP,40.714269,-74.005973
Stephen Barnes,,S D Barnes & Co,Schooner,1875,,12/25/1878,1878,12,25,Barnegat LSS E .5 mi,Stranded,,,86,24.4,8.1,91.93,,"Philadelphia, PA","York River, VA","New York, NY",Wright,6,,0,,,Oysters,Barnegat & Loveladies,N,N,#115427; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charles Colgate,,Maibler & Lord,Schooner,1850,"Patchogue, NY",2/16/1858,1858,2,16,Squan Beach,Stranded in storm,,,,,11,290,,"New York, NY","Baltimore, MD","New York, NY",,5,,0,,,Corn,,N,N,Refloated 2/18/1858; Crew saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Clara C Frey,,,Schooner,,,1/26/1871,1871,1,26,"Cranberry Inlet, NJ",Grounded,,US,,,,85,,,"Baltimore, MD","New York, NY",Cooper,5,,0,,,Lumber,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Echo,,,Schooner,,,1/13/1856,1856,1,13,"Long Branch, NJ",Grounded,,,,,,,,"Baltimare, MD","Baltimore, MD","New York, NY",,5,,0,,,Coal,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
